"","total","region","ct_band","reg_total","ctb_banddis"
"1",396511,"E","a",2796992,14.1763365787246
"2",587404,"E","b",2796992,21.0012756561334
"3",723597,"E","c",2796992,25.8705423540718
"4",493321,"E","d",2796992,17.6375549161385
"5",304168,"E","e",2796992,10.8748255268517
"6",167055,"E","f",2796992,5.97266635013615
"7",110612,"E","g",2796992,3.95467702446056
"8",14324,"E","h",2796992,0.512121593483285
"9",791637,"EM","a",2178773,36.3340742702429
"10",493053,"EM","b",2178773,22.629847166272
"11",392499,"EM","c",2178773,18.0146807400312
"12",239715,"EM","d",2178773,11.0022934927136
"13",148706,"EM","e",2178773,6.82521767985926
"14",71605,"EM","f",2178773,3.28648280477131
"15",38246,"EM","g",2178773,1.75539168146475
"16",3312,"EM","h",2178773,0.152012164644963
"28",146277,"L","a",3767414,3.88268982384203
"29",493608,"L","b",3767414,13.1020376311178
"30",1018283,"L","c",3767414,27.0286992616155
"31",959219,"L","d",3767414,25.4609395197873
"32",572269,"L","e",3767414,15.1899685035942
"33",290171,"L","f",3767414,7.70212671078889
"34",220912,"L","g",3767414,5.86375694309147
"35",66675,"L","h",3767414,1.76978160616274
"37",666987,"NE","a",1268117,52.5966452622274
"38",202069,"NE","b",1268117,15.9345707060153
"39",190882,"NE","c",1268117,15.0523965848577
"40",109224,"NE","d",1268117,8.61308538565448
"41",58097,"NE","e",1268117,4.58135960640856
"42",25299,"NE","f",1268117,1.99500519273852
"43",14038,"NE","g",1268117,1.10699564787792
"44",1521,"NE","h",1268117,0.119941614220139
"46",1372143,"NW","a",3399574,40.3622042055858
"47",690238,"NW","b",3399574,20.303661576421
"48",601632,"NW","c",3399574,17.6972761881342
"49",353945,"NW","d",3399574,10.4114515524592
"50",208699,"NW","e",3399574,6.13897505981632
"51",101387,"NW","f",3399574,2.98234425842767
"52",64359,"NW","g",3399574,1.89314896513504
"53",7171,"NW","h",3399574,0.21093819402078
"55",361503,"SE","a",4079253,8.86199017320083
"56",674241,"SE","b",4079253,16.5285408872654
"57",1052644,"SE","c",4079253,25.8048225986473
"58",823357,"SE","d",4079253,20.1840140829706
"59",539704,"SE","e",4079253,13.230461557545
"60",328706,"SE","f",4079253,8.05799493191523
"61",259919,"SE","g",4079253,6.37173031434922
"62",39179,"SE","h",4079253,0.960445454106426
"64",463567,"SW","a",2647491,17.5096723652696
"65",634958,"SW","b",2647491,23.9833865346473
"66",610775,"SW","c",2647491,23.0699556674602
"67",421898,"SW","d",2647491,15.9357671093122
"68",284204,"SW","e",2647491,10.7348429135359
"69",143959,"SW","f",2647491,5.43756333827008
"70",79927,"SW","g",2647491,3.0189715470232
"71",8203,"SW","h",2647491,0.309840524481481
"73",777011,"WM","a",2585729,30.0499781686325
"74",644825,"WM","b",2585729,24.9378415139406
"75",512006,"WM","c",2585729,19.8012243355742
"76",294206,"WM","d",2585729,11.3780678485642
"77",187760,"WM","e",2585729,7.26139514233703
"78",102646,"WM","f",2585729,3.96971221655479
"79",61314,"WM","g",2585729,2.37124617467646
"80",5961,"WM","h",2585729,0.230534599720234
"82",1063516,"YH","a",2502138,42.504290330909
"83",504143,"YH","b",2502138,20.1484890121968
"84",420249,"YH","c",2502138,16.7955964059536
"85",242171,"YH","d",2502138,9.6785628930139
"86",153657,"YH","e",2502138,6.14102819268961
"87",73656,"YH","f",2502138,2.94372252849363
"88",41076,"YH","g",2502138,1.64163607283052
"89",3670,"YH","h",2502138,0.146674563912942
